category,dataset,A,B,C,D
submissive,submissive,attractiveness,attractive,ugly,direct
submissive,submissive,attractiveness,hot,gross,assured
submissive,submissive,attractiveness,beautiful,yuck,authoritative
submissive,submissive,,,strong,robust
submissive,submissive,,,loud,noisy
submissive,submissive,,,powerful,mighty
submissive,submissive,,,follow,trail
submissive,submissive,,,submissive,obedient
submissive,submissive,,,timid,bashful
submissive,submissive,,,weak,frail
submissive,submissive,,,delicate,fragile
submissive,submissive,,,gentle,kind
submissive,names,Eric,Dianne,command,direct
submissive,names,Jason,Karen,confident,assured
submissive,names,Peter,Lisa,dominant,authoritative
submissive,names,Steve,Sandra,strong,robust
submissive,names,,,loud,noisy
submissive,names,,,powerful,mighty
submissive,names,,,follow,trail
submissive,names,,,submissive,obedient
submissive,names,,,timid,bashful
submissive,names,,,weak,frail
submissive,names,,,delicate,fragile
submissive,names,,,gentle,kind
submissive,gender,husband,wife,command,direct
submissive,gender,boyfriend,girlfriend,confident,assured
submissive,gender,father,mother,dominant,authoritative
submissive,gender,,,strong,robust
submissive,gender,,,loud,noisy
submissive,gender,,,powerful,mighty
submissive,gender,,,follow,trail
submissive,gender,,,submissive,obedient
submissive,gender,,,timid,bashful
submissive,gender,,,weak,frail
submissive,gender,,,delicate,fragile
submissive,gender,,,gentle,kind
