category,dataset,A,B,C,D
abuse,relationship,Man,Girl,attack,assault
abuse,relationship,Boy,Female,force,compel
abuse,relationship,Father,Aunt,humiliate,embarrass
abuse,relationship,Male,Daughter,hit,strike
abuse,relationship,Grandpa,Wife,torture,torment
abuse,relationship,Husband,Woman,infringe,violate
abuse,relationship,Son,Mother,support,assist
abuse,relationship,Uncle,Grandma,collaborate,partner
abuse,relationship,,,cooperate,collude
abuse,relationship,,,empathize,sympathize
abuse,relationship,,,respect,admire
abuse,relationship,,,tolerate,endure
abuse,gender,Eric,Dianne,attack,assault
abuse,gender,Jason,Karen,force,compel
abuse,gender,Peter,Lisa,humiliate,embarrass
abuse,gender,Steve,Sandra,hit,strike
abuse,gender,,,torture,torment
abuse,gender,,,infringe,violate
abuse,gender,,,support,assist
abuse,gender,,,collaborate,partner
abuse,gender,,,cooperate,collude
abuse,gender,,,empathize,sympathize
abuse,gender,,,respect,admire
abuse,gender,,,tolerate,endure
abuse,attractiveness,attractive,ugly,attack,assault
abuse,attractiveness,hot,gross,force,compel
abuse,attractiveness,beautiful,yuck,humiliate,embarrass
abuse,attractiveness,,,hit,strike
abuse,attractiveness,,,torture,torment
abuse,attractiveness,,,infringe,violate
abuse,attractiveness,,,support,assist
abuse,attractiveness,,,collaborate,partner
abuse,attractiveness,,,cooperate,collude
abuse,attractiveness,,,empathize,sympathize
abuse,attractiveness,,,respect,admire
abuse,attractiveness,,,tolerate,endure
psychological,attractiveness,attractive,ugly,call you names,insult you
psychological,attractiveness,hot,gross,give you angry looks,glare at you
psychological,attractiveness,beautiful,yuck,put down your friends,criticize your friends
psychological,attractiveness,,,say things to scare you,intimidate you
psychological,attractiveness,,,make you do something embarrassing,humiliate you
psychological,attractiveness,,,encourage you to open up,support you to share
psychological,attractiveness,,,open to your ideas,receptive to your ideas
psychological,attractiveness,,,excited to see you,enthusiastic to see you
psychological,attractiveness,,,listen attentively to you,listen carefully to you
psychological,attractiveness,,,make an effort with your family,try hard with your family
psychological,gender,Eric,Dianne,call you names,insult you
psychological,gender,Jason,Karen,give you angry looks,glare at you
psychological,gender,Peter,Lisa,put down your friends,criticize your friends
psychological,gender,Steve,Sandra,say things to scare you,intimidate you
psychological,gender,,,make you do something embarrassing,humiliate you
psychological,gender,,,encourage you to open up,support you to share
psychological,gender,,,open to your ideas,receptive to your ideas
psychological,gender,,,excited to see you,enthusiastic to see you
psychological,gender,,,listen attentively to you,listen carefully to you
psychological,gender,,,make an effort with your family,try hard with your family
psychological,relationship,husband,wife,call you names,insult you
psychological,relationship,boyfriend,girlfriend,give you angry looks,glare at you
psychological,relationship,father,mother,put down your friends,criticize your friends
psychological,relationship,,,say things to scare you,intimidate you
psychological,relationship,,,make you do something embarrassing,humiliate you
psychological,relationship,,,encourage you to open up,support you to share
psychological,relationship,,,open to your ideas,receptive to your ideas
psychological,relationship,,,excited to see you,enthusiastic to see you
psychological,relationship,,,listen attentively to you,listen carefully to you
psychological,relationship,,,make an effort with your family,try hard with your family
