category,dataset,A,B,C
gender_violence,abuse,gender violence,non gender violence,attack
gender_violence,abuse,abuse,not abuse,force
gender_violence,abuse,unhealthy relationship,healthy relationship,humiliate
gender_violence,abuse,bad,good,hit
gender_violence,abuse,,,torture
gender_violence,abuse,,,infringe
gender_violence,abuse,,,support
gender_violence,abuse,,,collaborate
gender_violence,abuse,,,cooperate
gender_violence,abuse,,,empathize
gender_violence,abuse,,,respect
gender_violence,abuse,,,tolerate
gender_violence,gender,Man,Girl,attack
gender_violence,gender,Boy,Female,force
gender_violence,gender,Father,Aunt,humiliate
gender_violence,gender,Male,Daughter,hit
gender_violence,gender,Grandpa,Wife,torture
gender_violence,gender,Husband,Woman,infringe
gender_violence,gender,Son,Mother,support
gender_violence,gender,Uncle,Grandma,collaborate
gender_violence,gender,,,cooperate
gender_violence,gender,,,empathize
gender_violence,gender,,,respect
gender_violence,gender,,,tolerate
submissive,power,Eric,Dianne,command
submissive,power,Jason,Karen,confident
submissive,power,Peter,Lisa,dominant
submissive,power,Steve,Sandra,strong
submissive,power,you,me,follow
submissive,power,,,submissive
submissive,power,,,timid
submissive,power,,,weak
submissive,gender,attractive,ugly,command
submissive,gender,hot,gross,confident
submissive,gender,beautiful,disgusting,dominant
submissive,gender,,,strong
submissive,gender,,,follow
submissive,gender,,,submissive
submissive,gender,,,timid
submissive,gender,,,weak
