unhealthy scenarios,type
"I put you down and criticized you, but in a humourous way.",controlling
I make you anxious about saying or doing the wrong thing.,controlling
You apologize to me even when you know you haven't done anything wrong.,controlling
You put off telling me when you're going to see your friends or family because you know I'll sulk.,controlling
I use emotion blackmail to get my way with you.,controlling
I make you feel like you are being punished without explaining why.,controlling
I get upset when you don't answer your calls or messages promptly.,controlling
I get jealous and accuse you of flirting and cheating.,controlling
I don't respect your boundaries.,controlling
I rush you into getting married and having a child together.,controlling
